Retweet Count,Mention Count,Follower Count,Verified,Bot Label,Location,Hashtags,Account Year,Account Month,Account Day
25,5,3056,False,0,10570,33955,2020,10,2
69,1,7828,False,0,1446,14466,2021,2,21
81,0,7844,False,0,7641,9858,2022,12,5
71,3,4182,False,1,10510,13434,2021,2,23
71,1,2230,False,1,24516,29427,2020,7,2
57,5,1120,False,0,25045,19421,2021,8,9
99,1,225,True,1,1551,19421,2020,8,3
86,3,9114,False,1,4896,4476,2021,11,20
28,4,194,True,0,7148,19421,2020,2,14
58,0,7723,True,1,12073,25806,2021,7,4
34,2,3898,True,1,20367,16058,2020,4,15
37,2,5368,True,1,23798,25176,2023,3,16
4,3,9940,False,1,2667,11023,2022,9,15
57,4,7005,False,1,18577,19421,2023,4,7
93,4,9784,True,0,2817,9463,2020,10,5
8,0,7889,False,1,10419,17642,2020,8,12
30,1,3370,False,0,23846,10857,2021,2,24
37,0,8427,True,0,1514,19421,2021,6,8
74,2,5051,True,1,6033,4852,2022,2,13
21,5,3898,False,0,8187,31909,2022,7,2
62,3,7586,False,1,23547,13093,2022,3,20
58,4,3745,True,1,10394,14677,2023,1,17
90,5,987,True,1,21790,20877,2021,9,25
20,3,4248,False,1,8127,4997,2021,9,14
56,3,6272,False,1,2561,23716,2022,12,17
0,5,7444,True,0,17713,3904,2022,10,24
98,4,3267,True,1,24269,20350,2020,9,4
55,4,7220,True,0,13589,6463,2020,5,27
76,2,5312,True,0,4243,20499,2021,6,25
92,5,5758,False,1,10620,26906,2022,1,5
5,3,2283,True,0,2764,13572,2020,4,16
17,3,6652,False,0,8492,19421,2022,12,9
28,5,2120,False,0,7756,23928,2020,4,30
85,3,7910,True,0,23862,15782,2022,10,24
52,5,9599,False,1,13450,380,2021,1,1
83,3,977,False,1,14647,2234,2021,10,31
28,4,1984,True,0,4215,2962,2020,10,4
8,3,9401,True,1,16251,19421,2020,12,28
0,2,3521,True,0,24644,19594,2020,3,26
89,2,6498,True,0,13174,20749,2020,6,16
35,1,6757,False,0,7153,2862,2021,12,4
86,3,8534,False,0,17144,19421,2021,8,2
39,5,842,False,1,7297,17904,2022,6,26
86,2,8708,True,1,8442,34244,2022,5,4
43,0,5186,True,0,24596,22638,2022,2,17
89,5,4960,False,0,19989,13792,2020,12,9
44,4,6622,False,0,12866,32521,2022,6,23
45,5,91,True,0,17861,10817,2021,4,29
91,3,400,False,1,8945,19421,2021,9,24
97,3,8861,False,0,5579,2773,2021,12,15
30,2,766,False,1,14889,19421,2022,4,4
25,1,6675,False,0,1602,11658,2022,11,3
92,0,1743,False,0,2296,26776,2023,5,24
3,0,9348,True,1,23205,10159,2021,12,3
56,2,7622,False,1,20962,23095,2023,5,17
35,3,3162,True,0,18437,20538,2021,9,1
9,1,8542,True,1,12138,33207,2021,5,22
34,3,8483,False,1,3473,21780,2021,6,18
65,3,8527,True,0,13346,6144,2022,9,22
39,4,4814,True,1,4846,27995,2022,8,18
92,5,5995,False,1,22276,19421,2022,11,17
91,1,9921,False,1,10320,2663,2023,1,11
34,5,1748,True,0,24020,13139,2020,3,30
52,2,8353,True,0,13323,11024,2022,8,19
19,4,1966,True,1,8745,15407,2021,7,18
97,0,732,True,0,19754,7360,2021,9,8
20,5,8483,False,1,5604,19421,2021,10,19
87,3,1918,True,1,16958,22376,2021,2,1
51,0,2540,False,0,2207,25216,2020,4,18
65,1,7712,False,0,378,2617,2021,2,14
73,0,4440,False,1,13350,14214,2020,10,7
51,5,823,True,1,360,17083,2023,2,2
11,2,2197,False,1,11662,5384,2020,7,1
92,1,4189,True,1,23736,24342,2020,6,8
25,2,7442,True,0,17904,19421,2022,4,4
6,4,9362,False,1,13319,32504,2021,9,13
10,1,6976,False,0,10091,29980,2021,12,6
14,1,8902,True,1,15224,19669,2020,2,4
76,0,7346,False,1,10256,33310,2021,2,20
72,0,3183,True,1,10674,2760,2023,5,15
35,3,9422,True,1,5984,26721,2020,7,18
89,3,1800,False,1,728,4420,2021,2,20
89,2,5759,False,0,16246,15185,2023,3,31
2,2,9113,True,1,7912,510,2023,2,24
100,2,8759,True,0,2208,26093,2021,1,13
44,3,6315,False,0,8955,7857,2021,6,7
18,1,9649,False,1,7417,4691,2021,3,16
73,1,8997,False,1,15413,18699,2023,2,8
86,5,8550,True,1,17198,2034,2020,7,2
70,3,6598,True,1,4046,16637,2021,4,29
64,4,6411,False,0,7716,19421,2022,4,23
65,3,2560,False,0,16599,10068,2020,7,19
6,5,2427,True,0,19350,19421,2021,7,11
92,1,6811,True,1,14939,20592,2023,5,25
57,5,7495,True,1,11104,29883,2022,12,26
39,2,2415,True,1,15773,29893,2020,8,5
83,3,7270,False,0,5203,19421,2022,3,1
41,0,4225,False,0,3686,21985,2023,1,15
55,5,3614,True,1,7769,33378,2020,7,16
81,4,1635,True,0,23798,19421,2020,7,7
76,1,4522,False,0,13307,33214,2020,4,18
16,3,6963,False,1,19166,19421,2020,10,28
18,4,6403,True,0,24476,27276,2022,8,12
9,3,8380,False,1,18474,30331,2020,7,22
25,3,5069,False,1,17495,34001,2020,12,6
95,1,2891,False,0,15182,26947,2020,5,20
43,3,8483,False,1,24008,1305,2022,7,19
88,2,4470,True,0,12427,9894,2023,3,21
77,4,8561,True,1,17715,13808,2022,2,4
43,1,8950,False,0,8410,7931,2021,9,10
70,1,4062,True,0,617,2834,2020,11,2
78,2,4405,True,1,22298,32492,2021,9,26
55,2,5768,True,1,23448,6937,2021,8,9
7,2,4304,False,0,12869,11265,2022,8,4
5,1,7430,True,1,22879,18483,2021,2,14
10,3,4748,True,0,12823,19421,2021,4,2
3,5,5111,True,0,14168,25393,2021,5,29
69,4,4304,False,0,22255,31986,2020,10,28
73,0,2816,False,0,13297,19421,2022,10,2
16,0,2535,True,0,11810,9099,2021,8,5
4,5,1564,False,1,6331,19421,2023,2,27
72,2,6742,False,0,19428,25499,2023,2,13
93,3,8105,True,1,22371,2686,2020,5,31
59,1,7846,True,1,7504,19421,2020,12,31
51,4,2476,False,1,21989,2373,2022,9,27
96,0,2918,True,0,16196,8639,2022,1,10
48,4,3200,False,1,1682,33054,2021,12,22
95,3,2073,True,0,15224,17701,2022,9,26
31,0,4729,True,0,17844,22404,2021,1,12
36,5,5375,True,1,17283,19421,2021,9,8
86,5,2553,False,0,18536,14920,2022,12,12
14,4,543,False,0,15576,34077,2020,10,27
83,2,4567,False,0,22719,32415,2023,3,18
31,3,2212,True,0,22561,16572,2022,10,6
65,2,2631,True,1,20657,31898,2023,2,1
72,2,1423,False,1,19881,12170,2022,9,23
97,2,6542,False,0,18495,9499,2022,10,8
60,3,6160,False,0,22209,20486,2023,4,24
73,4,6635,False,1,19026,8728,2021,5,26
28,3,2902,False,1,16828,19168,2022,4,9
99,1,7208,False,1,6601,30643,2023,3,29
98,5,8423,True,1,541,5108,2021,7,11
62,5,2421,False,1,18010,20930,2020,7,16
31,4,8085,False,1,2124,30179,2021,6,23
80,1,9856,False,0,10016,26485,2021,3,31
79,1,7284,False,1,21194,3190,2020,12,12
60,2,184,False,0,7724,13358,2020,3,2
19,1,5686,True,1,4446,28837,2021,1,6
32,0,1535,True,0,5024,22907,2021,4,29
86,4,7236,True,0,4276,19421,2021,7,20
8,2,9318,False,0,5608,3463,2022,12,31
47,3,6039,True,0,16535,19421,2020,8,29
42,0,7815,False,1,20834,27104,2021,12,8
56,1,7525,False,0,16527,25034,2020,2,1
77,2,4463,True,0,12862,23817,2023,1,27
47,2,3551,False,0,24813,11953,2022,7,2
50,2,1762,True,1,11381,12830,2020,3,13
97,2,6747,False,0,18446,27376,2022,3,31
49,4,4905,True,1,9917,5723,2022,9,1
3,4,3321,False,0,13041,19421,2020,12,26
65,3,3744,False,0,253,19421,2020,1,26
81,0,5477,False,1,300,19421,2023,1,15
86,3,5227,True,0,6952,24738,2021,2,22
62,4,9421,True,1,18348,8427,2021,7,1
48,3,3824,True,0,6137,18611,2021,11,19
71,2,6219,True,0,3036,19421,2021,4,23
78,1,2792,True,0,2382,11848,2022,3,1
85,4,8955,False,1,9083,16628,2022,5,14
88,0,3565,False,1,23769,4726,2021,6,22
79,1,990,True,1,19553,17232,2020,12,14
27,3,5343,False,1,519,3129,2020,3,18
18,0,4711,False,1,22039,22863,2022,8,28
31,3,7164,True,1,16514,8790,2022,6,5
6,0,5996,True,1,20674,15162,2022,2,18
44,1,3304,True,0,5677,14299,2021,4,1
62,1,939,True,0,23076,2005,2023,4,25
12,0,9606,True,1,13884,19421,2021,1,30
0,0,7421,False,0,2332,5930,2021,4,9
83,5,1946,True,0,12616,4183,2022,1,25
19,5,7292,True,0,2266,11697,2021,1,8
71,2,9954,False,1,2019,33069,2022,9,29
16,4,4451,True,1,18476,5215,2023,5,31
45,5,9583,True,0,23930,14643,2021,2,23
90,2,7363,True,0,11670,32538,2022,8,1
66,5,7025,False,1,17997,28766,2020,4,26
90,1,3417,True,1,7593,17569,2020,1,6
29,1,8448,False,1,18869,20312,2020,1,21
10,3,8556,False,0,7285,33198,2022,4,9
98,5,8151,True,1,16149,19700,2022,5,14
99,1,6228,True,1,10053,19421,2022,9,6
75,0,7407,False,1,20901,23008,2020,1,9
1,5,6811,True,1,11012,1490,2022,10,24
83,5,8837,False,0,10218,23143,2022,11,26
48,2,547,False,0,2007,32911,2021,12,18
62,5,1373,False,1,23215,12594,2021,8,15
38,4,9861,True,1,6608,19016,2023,4,24
49,2,1947,False,1,18704,20221,2021,2,16
26,1,8341,True,0,2789,10322,2022,10,22
17,5,2256,False,0,22286,23623,2020,12,21
94,5,1698,False,1,19349,27655,2023,2,7
76,3,2773,False,1,18157,25441,2020,2,29
11,4,7732,True,0,11383,5507,2022,8,18
14,4,6242,True,1,6943,6983,2020,5,19
97,2,7321,True,1,24501,26781,2022,11,11
67,5,5981,False,1,11406,19421,2023,3,19
11,1,3231,True,1,23492,21232,2020,3,26
52,0,1759,False,0,19699,25408,2023,5,28
3,4,7168,True,0,10909,19613,2023,5,21
68,1,1945,True,0,19968,19421,2021,5,5
55,3,1518,True,1,15274,15474,2021,8,30
16,2,1876,True,1,23559,19421,2022,7,6
100,1,37,False,0,15647,12314,2023,2,28
40,0,741,True,1,848,25550,2020,8,25
81,0,4954,True,1,4746,4814,2021,1,8
53,0,2408,True,1,8502,15351,2023,4,19
62,2,2828,False,1,24986,8814,2020,8,4
19,4,5657,True,1,1403,15426,2020,2,7
77,5,7446,False,1,7552,7526,2022,4,15
18,3,5399,False,1,15558,19231,2022,5,18
45,2,7682,False,1,18733,19421,2021,2,26
5,3,3740,True,0,11460,2099,2020,2,19
32,3,1336,True,0,9666,19421,2021,5,11
50,2,6316,False,0,22450,10467,2021,9,8
33,4,8617,True,0,11384,13843,2021,7,4
97,0,4879,False,1,16716,22283,2022,7,7
64,5,2202,True,1,8744,19421,2023,4,18
7,1,5749,True,0,18238,27865,2023,4,2
46,1,1534,False,1,2661,19421,2021,9,7
61,1,9357,False,0,15038,15244,2023,3,10
66,2,9452,False,0,8219,7811,2021,4,29
100,4,7159,False,0,378,33669,2023,5,28
68,1,3436,False,0,6856,8518,2020,9,15
64,2,4050,True,1,7196,20378,2022,5,29
98,0,1735,False,0,5279,26059,2023,5,4
69,2,5501,False,0,17979,19421,2021,9,8
51,2,2213,True,0,14963,4454,2021,11,18
87,5,4323,False,0,10476,9400,2020,11,19
86,3,4797,True,1,12768,31387,2022,3,1
49,1,448,True,0,15306,1562,2022,7,29
56,5,1428,False,1,17562,6498,2022,9,14
45,3,426,True,1,5562,16105,2022,2,4
90,4,2324,False,0,24941,25164,2023,3,14
16,5,9214,False,0,10917,32704,2022,4,28
44,0,9728,False,1,25118,25596,2022,2,24
28,2,5823,False,0,5562,18807,2022,3,23
79,2,3896,False,1,3489,19421,2020,7,7
65,3,265,False,0,21483,18266,2020,11,21
91,3,7128,True,0,494,25484,2020,8,25
7,4,380,False,1,4848,14225,2021,9,21
2,5,1829,False,1,8377,20203,2023,2,1
34,1,1906,True,1,8499,27836,2021,11,4
42,0,1429,True,0,17512,17794,2020,10,10
11,2,5587,True,1,23820,198,2020,10,7
84,3,1816,False,1,6204,32426,2020,4,20
79,0,9602,True,0,14722,7455,2023,3,19
23,5,8777,True,1,2730,31123,2020,9,4
45,2,9287,True,1,14157,3298,2021,5,14
82,1,9453,True,1,342,828,2022,1,16
2,0,1407,False,1,22846,3733,2020,4,1
58,2,6097,True,1,7290,21845,2020,5,28
59,0,1188,True,0,11615,2342,2021,11,21
29,4,9695,False,0,11523,16262,2021,6,24
85,2,6812,False,1,15406,19421,2020,2,15
39,0,4794,False,0,14735,11800,2020,11,22
4,4,5258,True,1,8755,24408,2023,1,30
0,0,7872,True,1,16902,19421,2022,3,16
86,3,6187,True,0,4344,19421,2022,1,13
88,1,8683,False,0,18138,30762,2020,6,25
32,5,7792,True,0,7052,25530,2022,7,1
76,3,6669,True,0,19422,3231,2022,5,13
79,1,7709,True,0,18833,18495,2020,3,13
54,2,4786,False,1,7073,19421,2020,11,25
59,3,4180,True,1,7736,8102,2021,7,5
24,4,7010,True,1,23502,19421,2022,10,7
30,0,3748,False,1,7848,7801,2020,1,4
35,3,7016,True,1,10912,6578,2022,5,9
61,4,115,True,0,7199,10888,2023,1,12
27,5,7526,False,0,1032,19421,2020,5,11
69,5,4436,True,0,13494,22338,2021,7,5
59,5,8800,True,1,22091,3463,2021,3,3
78,0,8443,False,0,10866,14368,2020,1,23
53,2,6152,False,1,24818,19271,2021,10,10
15,4,326,True,1,18851,27882,2022,2,10
72,5,2386,True,1,13661,11207,2022,2,14
21,2,3984,False,1,24216,20680,2021,11,10
57,0,3689,True,1,3367,5288,2022,12,23
87,0,1889,False,1,24639,28108,2020,10,17
79,2,2912,False,1,16836,12420,2022,2,21
60,4,5986,False,0,2817,29211,2021,1,11
81,4,4322,False,1,7128,29314,2020,12,16
60,1,3262,False,1,20868,12127,2022,6,11
63,2,4634,True,1,16586,19421,2021,5,10
22,2,1152,False,0,15070,24273,2021,6,26
25,3,7675,True,0,10613,19421,2020,12,14
49,2,2114,True,0,12411,28188,2021,6,23
48,4,6221,False,0,11137,10983,2020,3,1
66,4,7050,False,0,7211,371,2021,1,25
62,0,4926,False,1,8818,19421,2023,2,21
75,0,8511,False,1,14198,32967,2021,11,20
79,0,5083,True,1,7459,11301,2022,2,2
55,3,4605,False,1,15956,6380,2022,10,26
86,5,8775,False,0,17772,14433,2021,11,5
35,3,464,False,1,22740,1945,2020,6,6
94,1,4210,True,0,3327,1633,2020,3,7
80,0,1297,True,0,11392,16087,2023,4,30
76,5,678,False,0,3032,2142,2022,7,20
6,0,5993,False,1,23050,2661,2021,9,21
22,4,4647,False,1,4690,4450,2021,8,30
100,2,6876,True,1,27,20123,2021,11,19
61,0,1430,True,1,14909,30854,2020,5,4
44,5,584,True,1,17380,4013,2020,7,27
57,5,415,True,1,4324,29369,2021,1,18
73,1,8651,False,1,8277,19421,2021,5,12
74,4,2626,False,0,6359,31120,2022,3,8
57,2,1901,False,1,7693,33275,2022,4,11
80,2,7654,False,0,1903,31683,2023,3,10
10,3,7736,True,1,22917,11854,2021,1,23
26,4,1105,True,1,792,19421,2020,1,19
33,1,7108,False,1,21488,5696,2020,1,9
94,1,1426,True,0,18662,19421,2021,4,24
82,2,920,False,1,17852,11103,2020,3,2
84,5,9346,True,1,12365,446,2022,5,26
24,4,1531,False,1,7084,16947,2020,12,4
80,3,1584,False,1,5227,19421,2022,11,23
23,5,4349,True,0,5827,19594,2020,6,22
96,2,3594,True,0,6806,28231,2020,11,20
81,1,8596,True,0,14261,5200,2022,9,19
85,2,8973,False,1,22792,16189,2020,8,12
27,5,6983,False,1,12766,5808,2021,7,10
39,2,8717,True,0,9300,21550,2020,6,9
28,3,2534,True,1,24463,16480,2021,12,28
35,3,5188,True,0,17948,31581,2020,6,2
69,5,9461,True,0,7166,19421,2020,5,4
76,2,9721,False,0,6067,17775,2021,7,21
23,1,758,False,1,23201,5242,2023,2,15
72,5,319,True,0,294,8634,2022,5,1
28,5,4252,False,0,13740,1988,2021,1,11
28,0,5666,True,0,11294,27421,2022,6,21
73,3,3687,True,0,9149,25798,2020,2,10
17,1,1348,False,0,7153,7516,2021,8,6
81,0,5255,True,1,18889,8080,2022,5,2
30,5,1019,False,0,17915,9189,2022,1,4
71,2,3315,False,1,1031,19421,2020,3,24
49,5,5652,False,1,2677,20918,2021,7,17
17,3,3523,False,1,1583,16040,2022,6,12
33,5,2173,False,0,7755,19965,2020,7,1
74,5,7242,True,0,3769,24778,2022,11,10
6,2,7552,True,0,17143,19669,2022,8,7
11,2,9879,False,0,17450,19421,2020,10,18
79,3,901,True,0,2555,19421,2022,5,20
61,0,1826,False,0,624,33109,2023,5,12
89,1,1170,False,1,19367,24340,2021,12,7
73,4,9334,False,0,2798,19421,2021,7,8
77,2,5806,False,1,4632,26206,2022,7,22
18,1,4684,False,1,838,9886,2020,9,16
8,3,562,False,1,14832,19421,2021,7,17
61,3,8462,False,0,5139,11596,2020,5,29
77,2,7814,True,0,7811,19421,2022,6,4
75,0,8373,True,0,12931,14291,2020,12,1
71,5,6561,False,0,7538,18069,2021,12,25
6,0,506,False,1,24381,9337,2023,2,11
45,0,5879,False,1,17527,13003,2022,3,23
0,4,7734,True,0,21158,19421,2020,8,21
6,1,6662,True,0,6280,13650,2022,3,19
56,5,9388,True,1,15863,12730,2023,4,6
80,1,2121,True,0,7683,19421,2023,2,22
15,2,4669,True,1,21941,16003,2020,3,21
100,1,4530,False,0,7711,22098,2022,12,17
87,4,1988,False,0,24957,19076,2020,6,14
63,0,2689,False,1,15210,4756,2022,5,1
27,1,8792,True,0,14756,25885,2022,4,23
3,2,4355,False,1,12274,25240,2023,3,13
14,3,4682,True,1,19767,13926,2022,4,3
84,5,9872,True,0,2199,22955,2023,5,27
68,3,5042,True,0,321,19421,2021,9,19
65,3,7720,False,1,8096,10154,2020,11,17
32,3,9488,False,0,22148,3297,2020,2,5
28,3,4047,True,1,9380,27554,2020,6,26
49,3,6352,True,1,4886,19669,2020,7,7
3,4,5587,False,1,18719,3259,2020,3,20
53,5,9654,False,1,18949,2077,2022,2,10
25,2,707,True,0,12340,19421,2021,12,10
92,5,8803,True,0,21414,15857,2023,2,28
42,0,9735,True,1,1117,24900,2022,4,10
3,5,9382,True,1,15007,14670,2021,7,4
83,2,7493,True,1,3444,25311,2020,8,6
71,1,4525,True,1,5537,50,2021,9,25
72,5,4502,True,0,11387,14077,2020,2,16
57,2,9853,False,1,24424,0,2023,4,4
25,5,382,True,1,7679,15055,2021,2,23
93,2,4165,False,1,8151,22787,2020,1,27
47,4,6942,False,1,312,21648,2021,12,12
41,2,3998,True,1,23811,20334,2022,10,5
95,0,6974,True,1,13811,9598,2020,12,11
28,0,7319,False,1,8573,23267,2022,11,29
92,0,9332,False,0,3335,32707,2020,8,31
6,2,37,False,0,16742,6941,2020,8,11
33,4,5680,True,1,22485,2396,2021,5,6
14,3,8763,False,1,11385,19421,2020,1,11
29,4,6261,True,0,12799,19963,2022,2,4
15,0,7538,True,0,12722,6094,2021,8,12
11,1,5433,False,1,4508,19499,2020,11,3
44,2,3505,False,1,24509,30498,2021,4,30
64,4,7906,False,1,2207,8812,2021,12,31
17,0,8044,False,1,11986,9862,2023,4,22
19,4,4892,True,0,19496,27073,2022,4,11
94,5,6679,True,0,21166,1179,2022,10,29
31,3,7151,True,1,721,5840,2023,3,7
77,1,8467,False,1,13760,15735,2021,5,29
39,2,8772,False,0,12070,19421,2022,4,3
20,3,4363,False,1,8087,21530,2022,6,18
92,0,1377,True,1,19764,13502,2021,11,14
100,0,1285,True,1,23154,14513,2020,5,6
37,5,8128,False,0,23190,8170,2023,5,12
73,1,6881,False,0,8712,12810,2021,8,22
40,1,4669,False,1,20397,25398,2022,6,3
31,5,5620,False,1,20121,1027,2020,5,9
16,5,5570,True,0,11392,6777,2023,3,4
42,0,7194,False,1,16833,19421,2020,3,28
20,1,7528,True,0,5039,6131,2022,12,29
33,5,5083,False,1,21909,31350,2022,9,24
67,2,8304,True,1,15990,24463,2020,10,10
23,2,8134,False,1,23890,10291,2022,11,15
76,5,1846,False,1,15764,15771,2020,4,10
11,2,1012,False,1,2747,4115,2022,5,27
95,1,2549,True,1,20711,32848,2023,1,14
18,5,1841,True,0,14717,547,2022,4,13
12,1,8772,False,1,531,27120,2023,5,26
7,5,141,True,0,14445,19421,2021,3,16
78,3,6513,True,0,2661,20553,2020,11,25
75,2,9390,True,1,20732,27942,2020,2,29
98,1,8340,True,1,10781,19421,2020,2,22
92,4,2164,True,0,14269,15753,2022,9,27
35,4,5410,True,0,25136,5396,2022,4,16
75,0,1758,True,0,23547,27410,2022,11,5
98,0,2338,True,0,22130,19421,2022,5,1
92,4,3145,True,0,14474,22097,2020,9,20
33,0,4820,True,0,17652,28645,2023,1,20
51,4,2949,False,0,9354,1666,2022,11,22
13,1,9384,False,0,8420,10012,2021,6,16
50,3,7418,False,0,22211,19421,2021,7,24
17,0,991,True,0,10901,1119,2023,1,31
99,0,9534,False,1,7540,8268,2020,10,13
81,4,3417,True,1,12978,19421,2022,6,9
68,5,2549,False,1,302,22322,2021,7,1
85,0,1997,False,1,7410,23683,2022,11,26
80,4,1401,False,0,18242,21262,2020,2,16
20,0,8449,False,1,1225,6777,2020,4,15
58,5,3531,True,1,21062,14414,2022,9,12
9,0,7866,False,1,15609,9027,2022,7,18
94,5,4607,False,0,14534,19421,2022,3,29
32,3,7913,False,1,9372,30130,2023,4,1
21,2,6589,False,1,17048,28178,2021,6,13
82,1,9876,True,0,8852,18897,2022,6,27
31,5,3135,False,1,18964,19421,2022,5,7
32,4,7450,False,1,19879,17097,2020,4,26
42,1,3779,False,0,4813,19421,2023,5,30
94,4,800,True,0,2765,19421,2020,11,21
40,1,6905,False,0,5433,19421,2023,4,9
44,3,9667,False,0,13217,262,2022,4,19
13,5,8888,False,0,4735,33806,2020,6,20
70,0,427,True,1,24879,1477,2022,2,6
5,1,704,False,0,10253,8707,2021,7,24
6,0,6910,True,1,10685,26374,2022,3,16
18,4,7880,False,0,16640,19421,2020,7,20
77,4,8786,True,0,18878,19421,2022,4,25
24,0,982,False,1,22284,19421,2021,6,25
71,4,9032,False,1,12214,11828,2020,3,29
96,3,9228,True,0,23635,19421,2022,5,12
97,0,1148,True,0,1456,29788,2023,3,14
77,0,3064,False,0,4414,19421,2020,4,4
16,2,3594,False,0,1658,22704,2023,3,20
98,1,9522,True,0,15175,12555,2021,11,30
58,2,6226,True,1,21640,30650,2020,12,7
36,0,5679,True,1,4734,19421,2020,4,8
8,2,6068,True,0,22468,19247,2020,9,16
8,2,9316,True,1,12005,22351,2023,2,4
37,1,903,False,0,2073,10665,2020,9,16
96,0,4908,False,0,8565,22206,2020,4,5
33,2,7540,True,1,23531,2458,2021,7,31
9,0,5797,False,1,314,26570,2021,3,17
93,4,3304,True,0,10910,19421,2020,7,12
77,2,3627,True,1,8063,19421,2022,10,14
49,3,3089,True,1,23581,10525,2020,3,31
2,1,460,False,0,19946,8039,2023,5,19
84,3,574,False,1,14862,13432,2020,12,8
90,0,4307,True,1,6605,7973,2021,3,18
63,5,9083,True,0,17183,19421,2020,1,16
47,5,2306,False,0,4998,32242,2023,2,21
99,2,2482,True,0,2824,6975,2020,5,14
0,0,6275,False,1,25178,6510,2023,2,10
47,3,6108,True,1,8831,17894,2021,3,22
68,0,4907,False,0,19115,5511,2020,12,30
54,2,3360,True,0,4496,29543,2022,9,25
12,0,5754,False,1,9408,14475,2022,12,8
91,1,7802,True,0,3169,11385,2020,2,13
34,2,4499,False,1,4155,25622,2020,7,29
77,0,9020,True,0,20871,13380,2021,1,25
76,4,8993,False,1,11893,19421,2021,10,19
55,1,8951,True,0,23163,8454,2020,7,8
66,5,3161,True,0,24543,4149,2021,4,15
89,4,9475,False,0,11851,10266,2021,1,3
87,0,835,True,0,11748,34139,2021,11,2
61,5,9658,True,1,9114,19421,2022,6,29
4,0,2598,True,1,23685,9484,2021,1,17
91,1,6984,True,0,5378,6476,2021,11,16
54,4,6186,True,1,2450,32313,2021,3,30
99,1,3243,True,1,15896,21470,2023,5,25
12,2,6768,True,0,7149,9876,2021,9,29
35,2,2431,False,1,18948,901,2021,9,2
63,4,1402,False,1,11380,20830,2022,11,29
45,0,4478,True,0,24959,19421,2022,11,24
53,4,9017,False,0,5111,6052,2020,4,24
