fav_number,statuses_count,followers_count,friends_count,favourites_count,listed_count,lang,location,default_profile,profile_use_background_image,profile_text_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_background_color,profile_link_color,description,dataset
8960,69,25,625,0,0,1,1343,1.0,1.0,43,75,108,166,10,819,1
36,57,20,621,0,0,1,547,1.0,1.0,43,75,108,166,10,1112,1
20450,45,12,638,0,0,1,449,1.0,1.0,43,75,108,166,10,2534,1
440,57,16,631,0,0,1,824,1.0,1.0,43,75,108,166,10,2534,1
17,66,29,623,0,0,1,271,1.0,1.0,43,75,108,166,10,342,1
113,56,19,686,0,0,1,825,1.0,1.0,43,75,108,166,10,2324,1
240,59,24,619,0,0,1,581,1.0,1.0,43,75,108,166,10,2534,1
43,58,23,603,0,0,1,1635,1.0,1.0,43,75,108,166,10,1866,1
6545,57,27,602,0,0,1,1222,1.0,1.0,43,75,108,166,10,554,1
1033,55,21,614,0,0,1,109,1.0,1.0,43,75,108,166,10,1753,1
0,59,16,599,0,0,1,1466,1.0,1.0,43,75,108,166,10,52,1
0,63,20,663,0,0,1,1218,1.0,1.0,43,75,108,166,10,1853,1
296,62,24,598,0,0,1,516,1.0,1.0,43,75,108,166,10,1850,1
299,54,16,637,0,0,1,786,1.0,1.0,43,75,108,166,10,2182,1
461,56,17,684,0,0,1,659,1.0,1.0,43,75,108,166,10,2007,1
23,42,21,609,0,0,1,802,1.0,1.0,43,75,108,166,10,2305,1
7149,78,28,732,0,0,1,82,1.0,1.0,43,75,108,166,10,2534,1
578,62,16,630,0,0,1,761,1.0,1.0,43,75,108,166,10,750,1
4204,59,17,654,0,0,1,1481,1.0,1.0,43,75,108,166,10,2534,1
3777,54,18,638,0,0,1,411,1.0,1.0,43,75,108,166,10,2534,1
3253,63,27,652,0,0,1,482,1.0,1.0,43,75,108,166,10,720,1
1802,48,23,599,0,0,1,923,1.0,1.0,43,75,108,166,10,2534,1
0,69,20,652,0,0,1,499,1.0,1.0,43,75,108,166,10,2051,1
0,61,22,609,0,0,1,1676,1.0,1.0,43,75,108,166,10,439,1
3859,81,23,807,0,0,1,1307,1.0,1.0,43,75,108,166,10,620,1
141,64,24,638,0,0,1,871,1.0,1.0,43,75,108,166,10,1829,1
58,63,26,593,0,0,1,1596,1.0,1.0,43,75,108,166,10,1875,1
153,62,22,671,0,0,1,237,1.0,1.0,43,75,108,166,10,887,1
465,57,29,673,0,0,1,718,1.0,1.0,43,75,108,166,10,2534,1
1729,63,20,630,0,0,1,1393,1.0,1.0,43,75,108,166,10,2443,1
9007,66,20,722,0,0,1,880,1.0,1.0,43,75,108,166,10,1807,1
1957,61,17,610,0,0,1,283,1.0,1.0,43,75,108,166,10,2194,1
858,70,24,655,0,0,1,1079,1.0,1.0,43,75,108,166,10,1034,1
4089,60,12,572,0,0,1,743,1.0,1.0,43,75,108,166,10,2534,1
765,70,27,669,0,0,1,324,1.0,1.0,43,75,108,166,10,824,1
0,65,20,610,0,0,1,356,1.0,1.0,43,75,108,166,10,911,1
1567,62,42,651,0,0,1,838,1.0,1.0,43,75,108,166,10,1351,1
74,83,27,801,0,0,1,390,1.0,1.0,43,75,108,166,10,1681,1
0,54,31,599,0,0,1,1478,1.0,1.0,43,75,108,166,10,723,1
4446,158,30,1221,0,0,1,1447,1.0,1.0,43,75,108,166,10,2488,1
0,53,22,589,0,0,1,170,1.0,1.0,43,75,108,166,10,380,1
31,66,30,748,0,0,1,1600,1.0,1.0,43,75,108,166,10,2296,1
106,61,23,721,0,0,1,1126,1.0,1.0,43,75,108,166,10,1823,1
532,56,27,585,0,0,1,660,1.0,1.0,43,75,108,166,10,805,1
2,67,21,639,0,0,1,718,1.0,1.0,43,75,108,166,10,2534,1
702,53,26,504,0,0,1,272,1.0,1.0,43,75,108,166,10,405,1
22,81,26,703,0,0,1,927,1.0,1.0,43,75,108,166,10,759,1
1,66,11,615,0,0,1,334,1.0,1.0,43,75,108,166,10,306,1
5,56,23,641,0,0,1,523,1.0,1.0,43,75,108,166,10,779,1
0,66,22,581,0,0,1,684,1.0,1.0,43,75,108,166,10,2534,1
72,56,19,681,1,0,1,1595,1.0,1.0,43,75,108,166,10,1361,1
19907,64,19,594,0,0,1,705,1.0,1.0,43,75,108,166,10,1317,1
5170,58,35,665,0,0,1,395,1.0,1.0,43,75,108,166,10,780,1
1538,72,25,564,0,0,1,508,1.0,1.0,43,75,108,166,10,2040,1
640,77,21,581,0,0,1,1494,1.0,1.0,43,75,108,166,10,2333,1
1,60,19,606,0,0,1,905,1.0,1.0,43,75,108,166,10,174,1
790,60,28,579,0,0,1,1055,1.0,1.0,43,75,108,166,10,1612,1
12849,65,27,617,0,0,1,382,1.0,1.0,43,75,108,166,10,498,1
2304,66,25,731,0,0,1,90,1.0,1.0,43,75,108,166,10,1310,1
2,69,24,645,0,0,1,16,1.0,1.0,43,75,108,166,10,2187,1
509,63,32,603,0,0,1,1200,1.0,1.0,43,75,108,166,10,1675,1
1591,59,13,542,0,0,1,788,1.0,1.0,43,75,108,166,10,2534,1
3466,57,13,568,0,0,1,1529,1.0,1.0,43,75,108,166,10,1433,1
2969,75,22,578,0,0,1,1097,1.0,1.0,43,75,108,166,10,2534,1
70,61,18,624,0,0,1,1674,1.0,1.0,43,75,108,166,10,2522,1
220,72,34,685,0,0,1,660,1.0,1.0,43,75,108,166,10,598,1
3504,56,19,599,0,0,1,328,1.0,1.0,43,75,108,166,10,1979,1
0,45,26,596,0,0,1,1514,1.0,1.0,43,75,108,166,10,2534,1
1,54,26,629,0,0,1,855,1.0,1.0,43,75,108,166,10,540,1
30,52,18,608,0,0,1,215,1.0,1.0,43,75,108,166,10,1859,1
5204,53,11,586,0,0,1,897,1.0,1.0,43,75,108,166,10,756,1
2458,63,31,507,0,0,1,1520,1.0,1.0,43,75,108,166,10,1094,1
0,54,24,672,0,0,1,1133,1.0,1.0,43,75,108,166,10,2239,1
240,54,17,558,0,0,1,766,1.0,1.0,43,75,108,166,10,331,1
4218,65,25,742,0,0,1,1307,1.0,1.0,43,75,108,166,10,2534,1
3,46,16,591,0,0,1,1280,1.0,1.0,43,75,108,166,10,2186,1
520,48,28,582,0,0,1,199,1.0,1.0,43,75,108,166,10,2450,1
1576,58,15,616,0,0,1,279,1.0,1.0,43,75,108,166,10,2534,1
113,61,23,635,0,0,1,1037,1.0,1.0,43,75,108,166,10,659,1
439,60,18,625,0,0,1,999,1.0,1.0,43,75,108,166,10,2534,1
104,61,16,688,0,0,1,1508,1.0,1.0,43,75,108,166,10,2406,1
140,80,23,589,0,0,1,120,1.0,1.0,43,75,108,166,10,778,1
766,56,21,550,0,0,1,390,1.0,1.0,43,75,108,166,10,901,1
10840,70,26,709,1,0,1,857,1.0,1.0,43,75,108,166,10,1937,1
182,71,20,528,0,0,1,1087,1.0,1.0,43,75,108,166,10,880,1
1665,58,19,583,0,0,1,387,1.0,1.0,43,75,108,166,10,2005,1
950,107,33,1002,0,0,1,1176,1.0,1.0,43,75,108,166,10,586,1
445,68,30,560,0,0,1,545,1.0,1.0,43,75,108,166,10,2534,1
8510,54,24,592,0,0,1,1677,1.0,1.0,43,75,108,166,10,921,1
101,37,23,559,0,0,1,835,1.0,1.0,43,75,108,166,10,2141,1
1951,53,22,622,0,0,1,31,1.0,1.0,43,75,108,166,10,1639,1
62,67,24,678,0,0,1,1569,1.0,1.0,43,75,108,166,10,2534,1
0,46,24,589,0,0,1,495,1.0,1.0,43,75,108,166,10,2463,1
4442,60,27,566,0,0,1,114,1.0,1.0,43,75,108,166,10,187,1
362,58,26,559,0,0,1,1138,1.0,1.0,43,75,108,166,10,190,1
2752,48,20,590,0,0,1,74,1.0,1.0,43,75,108,166,10,1086,1
0,65,23,590,0,0,1,458,1.0,1.0,43,75,108,166,10,2065,1
97,56,22,541,0,0,1,1355,1.0,1.0,43,75,108,166,10,777,1
1196,55,27,617,0,0,1,903,1.0,1.0,43,75,108,166,10,1003,1
0,75,21,592,0,0,1,383,1.0,1.0,43,75,108,166,10,2385,1
18,50,23,556,0,0,1,625,1.0,1.0,43,75,108,166,10,1877,1
14290,51,12,503,0,0,1,136,1.0,1.0,43,75,108,166,10,2341,1
10325,45,22,509,0,0,1,1279,1.0,1.0,43,75,108,166,10,1311,1
0,45,27,702,0,0,1,777,1.0,1.0,43,75,108,166,10,2492,1
4320,78,25,752,0,0,1,139,1.0,1.0,43,75,108,166,10,884,1
5,55,34,574,0,0,1,1637,1.0,1.0,43,75,108,166,10,2256,1
23,39,24,526,0,0,1,1323,1.0,1.0,43,75,108,166,10,2534,1
1554,65,26,550,0,0,1,1134,1.0,1.0,43,75,108,166,10,1400,1
665,44,20,562,0,0,1,1295,1.0,1.0,43,75,108,166,10,2155,1
0,60,23,577,0,0,1,87,1.0,1.0,43,75,108,166,10,166,1
4763,55,28,611,0,0,1,1271,1.0,1.0,43,75,108,166,10,2534,1
1956,65,25,639,0,0,1,1015,1.0,1.0,43,75,108,166,10,1194,1
6313,47,16,552,0,0,1,1073,1.0,1.0,43,75,108,166,10,530,1
40,67,23,684,0,0,1,236,1.0,1.0,43,75,108,166,10,1541,1
267,69,27,698,0,0,1,1265,1.0,1.0,43,75,108,166,10,1454,1
20518,59,20,618,0,0,1,1477,1.0,1.0,43,75,108,166,10,2464,1
6,41,15,558,0,0,1,898,1.0,1.0,43,75,108,166,10,815,1
482,56,20,734,0,0,1,821,1.0,1.0,43,75,108,166,10,1819,1
3410,44,22,572,0,0,1,320,1.0,1.0,43,75,108,166,10,2534,1
65,72,21,721,0,0,1,968,1.0,1.0,43,75,108,166,10,2534,1
434,52,25,527,0,0,1,210,1.0,1.0,43,75,108,166,10,1218,1
1403,59,24,656,0,0,1,152,1.0,1.0,43,75,108,166,10,495,1
61063,70,22,639,0,0,1,1427,1.0,1.0,43,75,108,166,10,2064,1
13261,57,27,565,0,0,1,790,1.0,1.0,43,75,108,166,10,1295,1
12,55,22,511,0,0,1,1634,1.0,1.0,43,75,108,166,10,1660,1
47952,57,21,579,0,0,1,694,1.0,1.0,43,75,108,166,10,173,1
24,51,25,623,0,0,1,952,1.0,1.0,43,75,108,166,10,947,1
4106,65,23,640,0,0,1,689,1.0,1.0,43,75,108,166,10,739,1
194,56,26,496,0,0,1,1397,1.0,1.0,43,75,108,166,10,1004,1
14639,63,21,654,0,0,1,150,1.0,1.0,43,75,108,166,10,1398,1
140,47,17,609,0,0,1,923,1.0,1.0,43,75,108,166,10,571,1
0,60,25,561,0,0,1,77,1.0,1.0,43,75,108,166,10,1126,1
12999,68,18,606,0,0,1,845,1.0,1.0,43,75,108,166,10,2534,1
315,64,24,721,0,0,1,707,1.0,1.0,43,75,108,166,10,1056,1
36,69,26,587,0,0,1,105,1.0,1.0,43,75,108,166,10,722,1
670,61,27,782,0,0,1,474,1.0,1.0,43,75,108,166,10,1364,1
144,96,38,827,0,0,1,103,1.0,1.0,43,75,108,166,10,1659,1
18698,50,19,506,0,0,1,1636,1.0,1.0,43,75,108,166,10,2534,1
0,67,27,703,0,0,1,877,1.0,1.0,43,75,108,166,10,2341,1
15831,67,19,624,0,0,1,63,1.0,1.0,43,75,108,166,10,2534,1
13,56,26,611,0,0,1,414,1.0,1.0,43,75,108,166,10,2017,1
1263,54,18,551,0,0,1,415,1.0,1.0,43,75,108,166,10,209,1
20,46,22,575,0,0,1,582,1.0,1.0,43,75,108,166,10,964,1
985,46,15,542,0,0,1,41,1.0,1.0,43,75,108,166,10,195,1
1517,66,27,653,0,0,1,161,1.0,1.0,43,75,108,166,10,2184,1
267,38,16,515,0,0,1,1265,1.0,1.0,43,75,108,166,10,1348,1
5,42,12,535,0,0,1,452,1.0,1.0,43,75,108,166,10,2229,1
0,64,25,626,0,0,1,1537,1.0,1.0,43,75,108,166,10,506,1
31,66,22,637,0,0,1,1102,1.0,1.0,43,75,108,166,10,45,1
9409,69,24,712,0,0,1,1384,1.0,1.0,43,75,108,166,10,54,1
0,55,15,543,0,0,1,1288,1.0,1.0,43,75,108,166,10,2534,1
668,56,27,511,0,0,1,804,1.0,1.0,43,75,108,166,10,1654,1
347,54,23,470,0,0,1,232,1.0,1.0,43,75,108,166,10,1808,1
63,57,20,636,0,0,1,1606,1.0,1.0,43,75,108,166,10,2494,1
3687,59,24,582,0,0,1,1373,1.0,1.0,43,75,108,166,10,1513,1
0,62,20,537,0,0,1,643,1.0,1.0,43,75,108,166,10,2243,1
4382,59,15,563,0,0,1,1146,1.0,1.0,43,75,108,166,10,2534,1
1130,52,23,548,0,0,1,750,1.0,1.0,43,75,108,166,10,891,1
576,44,7,442,0,0,1,878,1.0,1.0,43,75,108,166,10,817,1
29325,52,18,519,0,0,1,1416,1.0,1.0,43,75,108,166,10,175,1
7617,62,17,610,0,0,1,4,1.0,1.0,43,75,108,166,10,2496,1
10812,55,19,527,0,0,1,969,1.0,1.0,43,75,108,166,10,2534,1
15676,69,20,600,0,0,1,1375,1.0,1.0,43,75,108,166,10,1421,1
2442,71,16,672,0,0,1,1282,1.0,1.0,43,75,108,166,10,2534,1
8,48,23,543,0,0,1,5,1.0,1.0,43,75,108,166,10,1821,1
2,48,22,500,0,0,1,492,1.0,1.0,43,75,108,166,10,2176,1
7609,53,18,524,0,0,1,1436,1.0,1.0,43,75,108,166,10,1302,1
484,57,19,593,0,0,1,827,1.0,1.0,43,75,108,166,10,2534,1
162,47,18,515,0,0,1,1156,1.0,1.0,43,75,108,166,10,2534,1
0,67,30,579,0,0,1,1522,1.0,1.0,43,75,108,166,10,2193,1
353,67,24,736,0,0,1,1451,1.0,1.0,43,75,108,166,10,1082,1
428,47,27,534,0,0,1,269,1.0,1.0,43,75,108,166,10,771,1
4632,39,21,523,0,0,1,1244,1.0,1.0,43,75,108,166,10,2457,1
0,60,21,555,0,0,1,1034,1.0,1.0,43,75,108,166,10,402,1
420,52,21,527,0,0,1,1232,1.0,1.0,43,75,108,166,10,332,1
3111,51,24,544,0,0,1,1111,1.0,1.0,43,75,108,166,10,2534,1
682,53,17,452,0,0,1,853,1.0,1.0,43,75,108,166,10,2534,1
3411,65,17,607,0,0,1,924,1.0,1.0,43,75,108,166,10,2534,1
137,43,21,535,0,0,1,1062,1.0,1.0,43,75,108,166,10,314,1
0,48,22,568,0,0,1,1383,1.0,1.0,43,75,108,166,10,92,1
18,43,17,523,0,0,1,1409,1.0,1.0,43,75,108,166,10,360,1
4424,61,20,537,0,0,1,951,1.0,1.0,43,75,108,166,10,1408,1
1407,53,20,518,0,0,1,194,1.0,1.0,43,75,108,166,10,690,1
8387,46,16,529,0,0,1,303,1.0,1.0,43,75,108,166,10,2534,1
23428,42,21,534,0,0,1,751,1.0,1.0,43,75,108,166,10,2534,1
567,45,25,513,0,0,1,187,1.0,1.0,43,75,108,166,10,895,1
3503,52,15,543,0,0,1,530,1.0,1.0,43,75,108,166,10,894,1
17,63,20,572,0,0,1,658,1.0,1.0,43,75,108,166,10,2534,1
8,51,25,508,0,0,1,1326,1.0,1.0,43,75,108,166,10,267,1
12534,52,28,540,0,0,1,42,1.0,1.0,43,75,108,166,10,1048,1
1,56,25,527,0,0,1,1045,1.0,1.0,43,75,108,166,10,1657,1
911,53,19,566,0,0,1,1663,1.0,1.0,43,75,108,166,10,1423,1
27339,64,19,556,0,0,1,873,1.0,1.0,43,75,108,166,10,1802,1
860,40,22,527,0,0,1,942,1.0,1.0,43,75,108,166,10,2534,1
16,58,20,524,0,0,1,1377,1.0,1.0,43,75,108,166,10,925,1
49,48,27,536,0,0,1,1207,1.0,1.0,43,75,108,166,10,864,1
20,57,18,513,0,0,1,1261,1.0,1.0,43,75,108,166,10,1156,1
1422,45,23,529,0,0,1,1062,1.0,1.0,43,75,108,166,10,312,1
22,56,11,554,0,0,1,645,1.0,1.0,43,75,108,166,10,2534,1
420,39,15,546,0,0,1,939,1.0,1.0,43,75,108,166,10,903,1
0,53,22,544,0,0,1,1039,1.0,1.0,43,75,108,166,10,641,1
8929,63,22,575,0,0,1,1563,1.0,1.0,43,75,108,166,10,80,1
1299,52,19,495,0,0,1,862,1.0,1.0,43,75,108,166,10,1891,1
22,40,20,548,0,0,1,1151,1.0,1.0,43,75,108,166,10,1972,1
1490,39,22,595,0,0,1,823,1.0,1.0,43,75,108,166,10,290,1
5,57,22,623,0,0,1,1403,1.0,1.0,43,75,108,166,10,2534,1
39882,60,15,540,0,0,1,1230,1.0,1.0,43,75,108,166,10,2389,1
134,47,23,520,0,0,1,813,1.0,1.0,43,75,108,166,10,713,1
2144,61,37,726,0,0,1,156,1.0,1.0,43,75,108,166,10,624,1
758,57,23,528,0,0,1,1481,1.0,1.0,43,75,108,166,10,2534,1
244,56,24,507,0,0,1,1662,1.0,1.0,43,75,108,166,10,2534,1
1073,42,15,512,0,0,1,1385,1.0,1.0,43,75,108,166,10,1795,1
566,51,22,547,0,0,1,1390,1.0,1.0,43,75,108,166,10,627,1
28714,47,18,503,0,0,1,222,1.0,1.0,43,75,108,166,10,30,1
0,40,22,468,0,0,1,262,1.0,1.0,43,75,108,166,10,2490,1
0,61,17,520,3,0,1,155,1.0,1.0,43,75,108,166,10,2456,1
3069,64,23,603,0,0,1,408,1.0,1.0,43,75,108,166,10,2534,1
140,58,24,706,0,0,1,821,1.0,1.0,43,75,108,166,10,2137,1
9,54,23,512,0,0,1,1260,1.0,1.0,43,75,108,166,10,2534,1
5193,41,18,538,0,0,1,1258,1.0,1.0,43,75,108,166,10,2200,1
2027,54,13,504,0,0,1,515,1.0,1.0,43,75,108,166,10,2534,1
1448,46,17,506,0,0,1,1566,1.0,1.0,43,75,108,166,10,1539,1
1314,49,16,559,0,0,1,208,1.0,1.0,43,75,108,166,10,643,1
139256,52,31,583,0,0,1,990,1.0,1.0,43,75,108,166,10,2534,1
46,44,21,557,0,0,1,1090,1.0,1.0,43,75,108,166,10,1904,1
10808,58,26,648,0,0,1,453,1.0,1.0,43,75,108,166,10,945,1
15550,62,23,549,0,0,1,806,1.0,1.0,43,75,108,166,10,2060,1
393,45,20,515,0,0,1,1116,1.0,1.0,43,75,108,166,10,2534,1
12,51,20,518,0,0,1,355,1.0,1.0,43,75,108,166,10,219,1
7986,58,21,551,0,0,1,1257,1.0,1.0,43,75,108,166,10,2534,1
18136,44,26,501,0,0,1,36,1.0,1.0,43,75,108,166,10,2301,1
12010,55,15,498,0,0,1,1430,1.0,1.0,43,75,108,166,10,2534,1
621,40,20,511,0,0,1,230,1.0,1.0,43,75,108,166,10,547,1
3888,44,25,593,0,0,1,543,1.0,1.0,43,75,108,166,10,1405,1
6605,49,28,506,0,0,1,285,1.0,1.0,43,75,108,166,10,1403,1
2195,51,18,535,0,0,1,275,1.0,1.0,43,75,108,166,10,1357,1
1021,67,27,616,0,0,1,1157,1.0,1.0,43,75,108,166,10,2479,1
415,44,19,547,0,0,1,619,1.0,1.0,43,75,108,166,10,956,1
252,42,26,532,0,0,1,183,1.0,1.0,43,75,108,166,10,114,1
4711,52,15,565,0,0,1,1475,1.0,1.0,43,75,108,166,10,204,1
1213,55,25,526,0,0,1,629,1.0,1.0,43,75,108,166,10,316,1
726,43,33,651,0,0,1,1667,1.0,1.0,43,75,108,166,10,2534,1
347,52,18,508,0,0,1,1178,1.0,1.0,43,75,108,166,10,1525,1
414,62,16,561,0,0,1,1376,1.0,1.0,43,75,108,166,10,2302,1
410,37,16,445,0,0,1,438,1.0,1.0,43,75,108,166,10,2534,1
8757,50,13,547,0,0,1,713,1.0,1.0,43,75,108,166,10,2534,1
42,46,35,519,0,0,1,1602,1.0,1.0,43,75,108,166,10,71,1
532,44,19,404,0,0,1,469,1.0,1.0,43,75,108,166,10,932,1
49,56,24,483,0,0,1,465,1.0,1.0,43,75,108,166,10,845,1
15,48,19,427,0,0,1,1130,1.0,1.0,43,75,108,166,10,1579,1
35015,39,14,432,0,0,1,607,1.0,1.0,43,75,108,166,10,885,1
0,44,31,628,0,0,1,1346,1.0,1.0,43,75,108,166,10,2534,1
234,69,18,627,0,0,1,611,1.0,1.0,43,75,108,166,10,1826,1
12541,60,28,625,0,0,1,1192,1.0,1.0,43,75,108,166,10,1064,1
16442,49,22,581,0,0,1,780,1.0,1.0,43,75,108,166,10,1440,1
170,65,19,617,0,0,1,1495,1.0,1.0,43,75,108,166,10,347,1
729,67,15,593,0,0,1,177,1.0,1.0,43,75,108,166,10,2534,1
49,0,0,0,0,0,1,430,1.0,1.0,43,75,108,166,10,1453,1
17425,59,28,615,0,0,1,174,1.0,1.0,43,75,108,166,10,1349,1
5521,64,22,624,0,0,1,966,1.0,1.0,43,75,108,166,10,1420,1
9411,54,27,773,0,0,1,205,1.0,1.0,43,75,108,166,10,2534,1
3483,65,26,619,0,0,1,1341,1.0,1.0,43,75,108,166,10,810,1
822,63,21,782,0,0,1,239,1.0,1.0,43,75,108,166,10,709,1
34314,65,17,650,0,0,1,432,1.0,1.0,43,75,108,166,10,2028,1
577,65,23,838,0,0,1,1212,1.0,1.0,43,75,108,166,10,313,1
938,52,16,573,0,0,1,45,1.0,1.0,43,75,108,166,10,1462,1
938,71,23,666,0,0,1,432,1.0,1.0,43,75,108,166,10,2019,1
526,70,23,603,0,0,1,376,1.0,1.0,43,75,108,166,10,139,1
3379,60,23,738,0,0,1,1506,1.0,1.0,43,75,108,166,10,59,1
3485,62,20,730,0,0,1,1265,1.0,1.0,43,75,108,166,10,962,1
11,58,20,593,0,0,1,1261,1.0,1.0,43,75,108,166,10,239,1
4507,64,15,601,0,0,1,1417,1.0,1.0,43,75,108,166,10,681,1
9285,56,18,614,0,0,1,1672,1.0,1.0,43,75,108,166,10,1731,1
1407,114,26,1098,0,0,1,617,1.0,1.0,43,75,108,166,10,2477,1
36,83,21,713,0,0,1,821,1.0,1.0,43,75,108,166,10,2534,1
1,83,19,699,0,0,1,180,1.0,1.0,43,75,108,166,10,365,1
340,62,29,651,0,0,1,279,1.0,1.0,43,75,108,166,10,755,1
193,69,15,668,0,0,1,321,1.0,1.0,43,75,108,166,10,1999,1
0,72,18,658,0,0,1,316,1.0,1.0,43,75,108,166,10,2151,1
210,69,22,617,0,0,1,454,1.0,1.0,43,75,108,166,10,1307,1
11,153,31,1152,0,0,1,318,1.0,1.0,43,75,108,166,10,138,1
7740,51,22,672,0,0,1,140,1.0,1.0,43,75,108,166,10,1052,1
5049,43,15,573,0,0,1,581,1.0,1.0,43,75,108,166,10,1476,1
53,58,26,639,0,0,1,1015,1.0,1.0,43,75,108,166,10,399,1
39756,64,23,621,0,0,1,1175,1.0,1.0,43,75,108,166,10,2123,1
20747,51,23,584,0,0,1,368,1.0,1.0,43,75,108,166,10,1688,1
21,115,27,962,0,0,1,338,1.0,1.0,43,75,108,166,10,1478,1
124,64,28,708,0,0,1,531,1.0,1.0,43,75,108,166,10,833,1
724,94,32,1015,0,0,1,1286,1.0,1.0,43,75,108,166,10,2273,1
1242,68,19,641,0,0,1,468,1.0,1.0,43,75,108,166,10,2534,1
28601,89,20,850,0,0,1,1297,1.0,1.0,43,75,108,166,10,2132,1
58,55,26,626,0,0,1,1176,1.0,1.0,43,75,108,166,10,2534,1
1539,70,21,843,0,0,1,593,1.0,1.0,43,75,108,166,10,2534,1
85379,55,13,740,0,0,1,627,1.0,1.0,43,75,108,166,10,2360,1
33,73,18,619,0,0,1,529,1.0,1.0,43,75,108,166,10,34,1
1074,50,17,587,0,0,1,476,1.0,1.0,43,75,108,166,10,2079,1
0,75,28,687,0,0,1,623,1.0,1.0,43,75,108,166,10,136,1
4754,58,22,585,0,0,1,1245,1.0,1.0,43,75,108,166,10,729,1
15758,56,18,656,0,0,1,1096,1.0,1.0,43,75,108,166,10,961,1
1708,70,28,771,0,0,1,502,1.0,1.0,43,75,108,166,10,2057,1
11,67,18,636,0,0,1,46,1.0,1.0,43,75,108,166,10,1097,1
280,73,27,718,0,0,1,424,1.0,1.0,43,75,108,166,10,832,1
336,74,19,736,0,0,1,1170,1.0,1.0,43,75,108,166,10,749,1
96,60,24,549,0,0,1,392,1.0,1.0,43,75,108,166,10,490,1
114,63,20,715,1,0,1,1500,1.0,1.0,43,75,108,166,10,2534,1
166,64,26,585,0,0,1,231,1.0,1.0,43,75,108,166,10,823,1
392,52,16,699,0,0,1,1274,1.0,1.0,43,75,108,166,10,343,1
39,64,16,602,0,0,1,1531,1.0,1.0,43,75,108,166,10,1224,1
2164,47,25,575,0,0,1,785,1.0,1.0,43,75,108,166,10,1142,1
0,69,13,526,0,0,1,913,1.0,1.0,43,75,108,166,10,2357,1
729,65,19,808,0,0,1,187,1.0,1.0,43,75,108,166,10,1857,1
6384,76,15,651,0,0,1,1519,1.0,1.0,43,75,108,166,10,2341,1
2119,50,17,519,0,0,1,460,1.0,1.0,43,75,108,166,10,2534,1
4019,54,22,595,0,0,1,1344,1.0,1.0,43,75,108,166,10,1946,1
5494,68,20,664,0,0,1,1261,1.0,1.0,43,75,108,166,10,1555,1
0,51,14,530,0,0,1,1265,1.0,1.0,43,75,108,166,10,827,1
36211,50,22,530,0,0,1,1246,1.0,1.0,43,75,108,166,10,2534,1
1769,53,24,646,0,0,1,1481,1.0,1.0,43,75,108,166,10,2236,1
3503,56,23,565,0,0,1,352,1.0,1.0,43,75,108,166,10,196,1
